JOURNAL NAME,ISSN NO,PUBLISHER,OPEN ACCESS,SUBSCRIPTION,COUNTRY,AIM & SCOPE,HYBRID MODE,PAYMENT TYPE,SUM OF USD,SUM OF INDIAN RS,PUBLICATION DURATION DAYS,IMPACT FACTOR,SCOPUS Q1,SCOPUS Q2,SCOPUS Q3,SCOPUS Q4,SCI,ANNEXURE,NON INDEXING,GUIDE LINES OF JOURNAL,EDITOR,CO-EDITOR,ACCEPTANCE RATE,SUBJECT AREA
2Dmaterials,2053-1583,Iop Publishing Ltd,GOLD OA,YES,England,"2D Materials aims to publish high-quality, high-impact research in two-dimensional materials science and engineering, serving a multidisciplinary research community. The journal covers fundamental properties, synthesis and fabrication techniques, and advanced applications of 2D materials in electronics, mechanics, chemistry, energy, and biomedicine, with materials of interest including graphene and its derivatives, boron nitride, transition metal dichalcogenides, silicene, germanene, 2D topological insulators, complex oxides, composite materials, and other emerging layered structures, and publishes original research articles, Perspectives, and invited Topical Reviews of broad scientific importance.",YES,APC,3895,323000,7.0,4.3,YES,NO,NO,NO,YES,YES,NO,"2D Materials (2DM) accepts high-quality manuscripts that report original and impactful research in two-dimensional materials science and engineering, including full research articles presenting significant experimental, theoretical, or computational advances; letters describing urgent breakthrough results; Perspectives offering expert insights into emerging trends and future directions; and invited Topical Reviews on themes of current importance to the 2D materials community, with all submissions expected to demonstrate strong novelty, scientific rigor, broad multidisciplinary relevance, and substantial impact.",Wencai Ren,"Jong-Hyun Ahn , Andrea Ferrari",27%,"Materials Science - Electronic, Optical And Magnetic Materials; Surfaces, Coatings And Films; Physics And Astronomy - Condensed Matter Physics"
3 Biotech,2190-572X,Springer Heidelberg,GOLD OA,NO,Germany,"3 Biotech aims to publish high-quality research on the study and application of biotechnology across medicine and biomedical sciences, agriculture, and the environment, emphasizing the integration of diverse biotechnological techniques to address real-world challenges. The journal covers a broad range of topics including cancer and stem cell research, genetic engineering and cloning, bioremediation and biodegradation, bioinformatics and systems biology, biomarkers and biosensors, biodiversity and biodiscovery, biorobotics, biotoxins, and analytical biotechnology including human genome studies, and serves scientists and engineers in both academia and industry focused on the safe, efficient, and innovative application of biotechnology.",YES,APC,3500,316995,120.0,3.2,YES,NO,NO,NO,YES,YES,NO,"Manuscript submission to the journal confirms that the work is original, has not been published or submitted elsewhere, and has been approved by all authors and the relevant institution. Authors must obtain permission for any previously published figures, tables, or text and provide proof during submission. Manuscripts are submitted online through the journals submission system, and authors must upload all required editable source files (such as .docx or LaTeX), as incomplete or non-editable files will not be considered for review.",Jingwen Zhou PhD,Sanjay Singh PhD,27%,"Biochemistry, Genetics And Molecular Biology - Biotechnology; Immunology And Microbiology - Applied Microbiology And Biotechnology"
3D Printing And Additive Manufacturing,2329-7662,"Mary Ann Liebert, Inc",GOLD OA,YES,United States,"3D Printing and Additive Manufacturing aims to publish high-quality, peer-reviewed research covering both academic and industrial advances in the rapidly evolving field of 3D printing and additive manufacturing. The journal provides comprehensive coverage of novel and improved additive manufacturing processes, materials, modeling and simulation techniques, hybrid manufacturing approaches, and advanced design tools, along with applications in medicine and bioprinting, education, food, architecture, and consumer and industrial products. It also addresses broader issues such as policy and law, intellectual property, safety, environmental impact, economic and social implications, business models, and material performance standards, serving researchers, engineers, policymakers, and industry professionals engaged in the development and responsible adoption of additive manufacturing technologies.",YES,APC,4200,350000,135.0,2.1,NO,YES,NO,NO,YES,YES,NO,"Manuscripts submitted to 3D Printing and Additive Manufacturing must be original, unpublished, and not under review elsewhere, with approval from all authors. The journal accepts research articles, reviews, and case studies related to additive manufacturing technologies and applications. Submissions are made online through the journals submission system, following the prescribed formatting and ethical guidelines. Authors choosing open access must pay an Article Processing Charge (APC) after acceptance, while subscription-based publication requires no fee. All manuscripts undergo peer review to ensure quality, originality, and relevance.",Skylar Tibbits,"Tian Chen, Benjamin Dillenburger",27%,Engineering - Industrial And Manufacturing Engineering; Mechanical Engineering; Materials Science - Materials Science (Miscellaneous)
4Or-A Quarterly Journal Of Operations Research,1619-4500,Springer Heidelberg,GOLD OA,YES,Germany,"4OR publishes high-quality, innovative scientific papers on the theory and applications of Operations Research, serving the international OR community. The journal focuses on rigorous and original research with clear methodological or theoretical contributions and rapid dissemination, while avoiding incremental or metaphor-based variants of existing methods. It features invited state-of-the-art surveys, research papers, industry case studies, education papers, and selected PhD thesis abstracts, emphasizing strong scientific foundations, meaningful applications, and relevance to both academic and industrial operations research.",YES,APC,3500,290000,120.0,2.6,NO,YES,NO,NO,YES,YES,NO,"or 4OR, authors should prepare and submit original manuscripts that have not been published before or under review elsewhere. All co-authors must approve the submission, and the work must be authorized by the relevant institution. Manuscripts are submitted online via the Editorial Manager system, following the journals specific submission guidelines and formatting requirements (including structure, ethical declarations, and figures/tables). Authors must provide complete editable source files (e.g., Word or LaTeX) and include required information such as author details, abstract, keywords, and any required declarations (authorship, competing interests, funding, etc.). The journal adheres to Springer and COPE ethical standards, requiring honesty and integrity in data, proper citation, and transparency about contributions",Yves Crama,Michel Grabisch,93%,Decision Sciences - Management Science And Operations Research; Mathematics - Applied Mathematics
Aapg Bulletin,0149-1423,Amer Assoc Petroleum Geologist,GREEN OA,YES,United States,"The AAPG Bulletin aims to publish high-quality, peer-reviewed research that advances the understanding of petroleum geology and energy-related geosciences. The journal covers topics such as sedimentology, stratigraphy, structural geology, geochemistry, basin analysis, petroleum systems, reservoir characterization, and exploration and production technologies, serving researchers and professionals in academia and the energy industry by promoting the scientific and practical application of geoscience knowledge.",YES,APC,3500,290000,225.0,3.2,YES,NO,NO,NO,YES,YES,NO,"The AAPG Bulletin accepts original, unpublished research articles in the field of petroleum geology and related geosciences. Manuscripts must not be under consideration elsewhere and should be approved by all authors. Submissions are made online and are subject to a rigorous peer-review process. Authors must follow the journals formatting, ethical, and citation guidelines, and ensure clarity, scientific rigor, and relevance to the energy and geoscience community.",Dr. Daniel Minisini,Mohammed S. Ameen,35%,Earth And Planetary Sciences - Geology; Stratigraphy; Economic Geology
Aaps Pharmscitech,1530-9932,Springer,GOLD OA,YES,United States,"Focuses on pharmaceutical sciences and technology, including formulation, drug development, analytical methods, and quality assurance.",YES,APC,3500,290000,30.0,3.8,YES,NO,NO,NO,YES,YES,NO,Manuscripts submitted online via Springer Editorial Manager; must follow submission formatting rules and ethical standards.,Robert O Williams III,"Miguel Jara,Sanyog Jain",75%,"Pharmacology, Toxicology And Pharmaceutics - Pharmaceutical Science; Medicine - Pharmacology (Medical)"
Aapsjournal,1550-7416,Springer,GREEN OA,YES,United States,"Publishes research on the science and technology of pharmaceuticals, including drug delivery, pharmacokinetics, pharmaceutics, and regulatory science.",YES,APC,3500,290000,180.0,4.1,YES,NO,NO,NO,YES,YES,NO,"Manuscripts submitted online via Springer Editorial Manager; must be original, not under review elsewhere.",Anurag S. Rathore,Ho-Leung Fung,24%,"Pharmacology, Toxicology And Pharmaceutics - Drug Discovery; Pharmaceutical Science; Biochemistry, Genetics And Molecular Biology - Molecular Medicine"
Aatcc Journal Of Research,2330-5517,Amer Assoc Textile Chemists Colorists-Aatcc,GOLD OA,YES,United States,"Publishes original research in textiles, including fiber science, dyeing, finishing, and material testing.",YES,APC,2100,174900,30.0,6.7,NO,NO,YES,NO,YES,YES,NO,Online submission or as per AATCC instructions; must be original research,Dr. Gang Sun,Dr. Chi Wai Kan,75%,Materials Science - Polymers And Plastics; Chemical Engineering - Process Chemistry And Technology
Aatcc Review,1532-8813,Amer Assoc Textile Chemists Colorists-Aatcc,GOLD OA,YES,United States,"Provides reviews and updates on textile science, technology, and industry trends; not focused on original research.",YES,APC,99,8500,120.0,0.3,NO,NO,YES,NO,YES,YES,NO,Follows editorial guidelines; typically invited articles or reviews.,Ionel BONDOC,-,65%,Materials Science - Polymers And Plastics; Materials Science (Miscellaneous)
Abacus-A Journal Of Accounting Finance And Business Studies,0001-3072,Wiley,GREEN OA,YES,Australia,"Publishes research in accounting, finance, and business studies, with theoretical and applied papers.",YES,APC,3500,290000,52.0,2.3,NO,NO,YES,NO,YES,YES,NO,Manuscripts submitted via Wiley online submission system; must follow formatting and ethical guidelines.,"Stewart Jones, University of Sydney Baljit K. Sidhu, University of Sydney","Jane Andrew, University of Sydney",13%,"Business, Management And Accounting - Accounting; Finance"
